front,back,tags
手,"shǒu<br>hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]<br><small>一手 (yī shǒu); 上手 (shàng shǒu); 下手 (xià shǒu)</small>",zero_beginner
而,ér<br>and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)<br><small>从而 (cóng ér); 俄而 (é ér); 假而 (jiǎ ér)</small>,zero_beginner
只,zhǐ<br>only; merely; just<br><small>不只 (bù zhǐ); 只好 (zhǐ hǎo); 只当 (zhǐ dāng)</small>,zero_beginner
生,shēng<br>to grow; to give birth; to produce; to be born; to arise; to occur; to light (a fire); to live; to be alive; life; raw; uncooked; unprocessed; unfamiliar; strange; (bound form) stu<br><small>一生 (yī shēng); 丛生 (cóng shēng); 丧生 (sàng shēng)</small>,zero_beginner
什,shén<br>what<br><small>什么 (shén me); 什叶 (shén yè); 什器 (shén qì)</small>,zero_beginner
身,"shēn<br>body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158<br><small>一身 (yī shēn); 上身 (shàng shēn); 下身 (xià shēn)</small>",zero_beginner
头,tóu<br>head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]<br><small>一头 (yī tóu); 上头 (shàng tou); 下头 (xià tou)</small>,zero_beginner
样,"yàng<br>manner; pattern; way; appearance; shape; classifier: kind, type<br><small>一样 (yī yàng); 两样 (liǎng yàng); 像样 (xiàng yàng)</small>",zero_beginner
事,"shì<br>matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1],回[hui2]<br><small>七事 (qī shì); 万事 (wàn shì); 丑事 (chǒu shì)</small>",zero_beginner
多,duō<br>many; much; more; a lot of; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duo2]); (bound form) multi-; poly-<br><small>众多 (zhòng duō); 几多 (jǐ duō); 基多 (jī duō)</small>,zero_beginner
己,"jǐ<br>self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter ""F"" or Roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc; hexa<br><small>一己 (yī jǐ); 体己 (tī jǐ); 克己 (kè jǐ)</small>",zero_beginner
家,jiā<br>used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4]<br><small>一家 (yī jiā); 上家 (shàng jiā); 下家 (xià jiā)</small>,zero_beginner
面,"miàn<br>face; side; surface; aspect; top; classifier for objects with flat surfaces such as drums, mirrors, flags etc<br><small>一面 (yí miàn); 上面 (shàng miàn); 下面 (xià miàn)</small>",zero_beginner
知,zhī<br>to know; to be aware<br><small>不知 (bù zhī); 了知 (le zhī); 先知 (xiān zhī)</small>,zero_beginner
开,"kāi<br>to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, <br><small>丢开 (diū kāi); 传开 (chuán kāi); 伸开 (shēn kāi)</small>",zero_beginner
如,rú<br>as; as if; such as<br><small>一如 (yī rú); 不如 (bù rú); 仿如 (fǎng rú)</small>,zero_beginner
无,wú<br>used in 南無|南无[na1 mo2]<br><small>三无 (sān wú); 不无 (bù wú); 了无 (liǎo wú)</small>,zero_beginner
现,xiàn<br>to appear; present; now; existing; current<br><small>乍现 (zhà xiàn); 付现 (fù xiàn); 体现 (tǐ xiàn)</small>,zero_beginner
很,"hěn<br>very; quite; (also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic element)<br><small>不很 (bù hěn); 很是 (hěn shì); 得很 (dé hěn)</small>",zero_beginner
点,diǎn<br>to touch briefly; to tap; to mark with a dot; to check off (on a list); to order (food etc); to select; to mention; to bring up (a topic or person); to hint at; to imply; to admini<br><small>丁点 (dīng diǎn); 中点 (zhōng diǎn); 交点 (jiāo diǎn)</small>,zero_beginner
